"name","b","n","ib_chi2p","ib_emd","ib_chi2s","ib_h","ib_kl","oob_chi2p","oob_emd","oob_chi2s","oob_h","oob_kl"
"ftrain uniform",8,794,81.4150448771997,1.8110170779597095,0.8278150212663862,0.37466197514611016,1.042649622814121,2.7980698795490786e6,1.830974959140003,0.8276672870267121,0.3752492330402177,1.5770368006176598
"uniform",8,1583,0.38555520880886834,0.266067996455591,0.4209679279753819,0.24209153248189577,0.2082075651283802,30.970297489197257,0.2628976236745678,0.4052256896938933,0.2370962900469687,0.20227099866139325
"ftrain uniform",8,1583,70.27056439052036,1.7471502568539512,0.8388147540698011,0.3757235771154321,1.0244169623571484,2.366032432594718e6,1.7671081380342446,0.8392832777889438,0.3764945261012357,1.5177555542988124
"uniform",8,3158,0.33809408094999105,0.25159134724611026,0.3878645634936656,0.23233366954505755,0.18937651340714393,12.350759877309864,0.24875697154028,0.37264312554085804,0.22726311781790018,0.183101565019879
"ftrain uniform",8,3158,73.24437811252088,1.7058985325521472,0.8348321825282424,0.3737593478883638,1.009851218203066,2.50317844098635e6,1.7258564137324401,0.8377243255255216,0.37487855916166307,1.5164576602832482
"uniform",8,6300,0.3169564687272505,0.24537871820221543,0.3697707679397665,0.2263516942988614,0.17957163117336558,4.477998004805672,0.24292770208420955,0.35527225171372745,0.2213873758723142,0.17321136693030328
"ftrain uniform",8,6300,76.52294104181844,1.7634833267936691,0.8288346912689851,0.37384411614744273,1.0252424175880317,2.6123522922027903e6,1.7834412079739626,0.8319687156393434,0.37501423496759895,1.5426443837811001
"uniform",8,12566,0.3052525114314115,0.24251061167827545,0.35877555788001914,0.2224039886654637,0.1737129781508745,2.114406172362396,0.24033824181562333,0.34480143566591237,0.21753549843483658,0.1673866761417508
"ftrain uniform",8,12566,75.75469544344561,1.7696816523476702,0.8256109318858511,0.37365149769111183,1.0271480763160137,2.585882533053477e6,1.7896395335279638,0.829339983444991,0.375027715357793,1.544299144768019
"uniform",8,25066,0.3018841812243017,0.24220885977660725,0.3519585109607143,0.21959092507505001,0.17054146319568317,1.1231561977658615,0.2401906306706529,0.3384444128485136,0.21484996452997004,0.16428395915867058
"ftrain uniform",8,25066,71.75533023902031,1.738672470725248,0.8170866834351869,0.37202714568339396,1.019926016907085,2.3961900341729587e6,1.7586303519055415,0.8203853632107747,0.3731860046620497,1.5138447265736403
"uniform",8,50000,0.298767426942961,0.24086318382745336,0.3455800678449282,0.21694140666220285,0.1675838647284092,0.8967161394634992,0.2388365979547557,0.33253181975537266,0.21235864224562231,0.16150388092356846
"ftrain uniform",8,50000,69.18221824848747,1.7114399999999996,0.8194918596937,0.37214224603300955,1.0166834113852299,2.2829371843922217e6,1.7313978811802937,0.8228223772645213,0.37322850158000676,1.4969734033269366
"redistricting",8,398,0.5903795975094043,0.3696925098601579,0.5868402099345855,0.2838769128930866,0.29695611282629936,93.13244024094946,0.3532036105004129,0.5683675272322337,0.2790344236771311,0.2902383316194988
"ftrain redistricting",8,398,31.32356979348037,1.2299128000000035,0.5163254498515685,0.29448566410291294,0.6254554034405757,1.0668951937985567e6,1.2498706811802969,0.5163509343590132,0.29559450616132693,0.961523265692234
"redistricting",8,794,0.43151771148354984,0.31108351698964415,0.45489301002150023,0.24749788743298812,0.22592857621663245,18.87981006224657,0.3043730108621023,0.4377013215745065,0.24230747037592418,0.2185697498771609
"ftrain redistricting",8,794,16.363078290614553,1.0958156257582503,0.44206235288913365,0.27168968260950876,0.5159956815112346,460733.5519690932,1.115773506938544,0.4416257669088772,0.272210324512483,0.7316857982899208
"redistricting",8,1583,0.37266987342849517,0.28151673597936083,0.398526054721471,0.23074311663820202,0.1968711574260179,10.042784315565703,0.2776578002397574,0.382525514631184,0.22559960332539125,0.18993945793801487
"ftrain redistricting",8,1583,16.451577983058872,1.112962791845723,0.4041746256268178,0.2589612541841758,0.46839202131941926,517838.5444323682,1.1329206730260166,0.4044367883076879,0.259969619257813,0.7012217677181544
"redistricting",8,3158,0.3372247892625128,0.2679735873141687,0.36316470470628914,0.21988008645227616,0.1789623471870391,4.324958074497681,0.26464465532821885,0.34811918872263925,0.21481209980665017,0.17219027649010893
"ftrain redistricting",8,3158,12.907867850170627,1.03616979952502,0.34846753063413055,0.24203705524702468,0.4149297021985588,373110.6328333993,1.0561276807053142,0.3502778648128504,0.24313579394331233,0.6086974292651334
"redistricting",8,6300,0.3111613014514416,0.25655629682623116,0.3360717778876604,0.21129547761215509,0.1654225414715118,2.314424954968182,0.2543402560571528,0.3217542972862647,0.20627242620961686,0.15884637172348262
"ftrain redistricting",8,6300,13.54813029681585,0.9709532939533316,0.324994784355622,0.23419795047971226,0.3937500089793505,412669.38417765783,0.990911175133625,0.32692201328834625,0.23545552418430027,0.5988146893261956
"redistricting",8,12566,0.29184180632114676,0.2501337508877751,0.319299700494383,0.20588843541912255,0.15656482406707264,1.1164618347513091,0.2480384698466749,0.30558238710917,0.20095494910809605,0.15010597786716107
"ftrain redistricting",8,12566,13.443793980964472,0.9149845232870955,0.3081366837273978,0.2281387993776044,0.3759972393729791,415106.10748092574,0.9349424044673892,0.30996688903755454,0.2292235010102206,0.5800359099439255
"redistricting",8,25066,0.2790874989428878,0.2458530384898675,0.30773179818340346,0.20204352199574135,0.15052798154774805,0.8125327261226897,0.243823815224251,0.2944680287773104,0.19719446167171306,0.14422467624903132
"ftrain redistricting",8,25066,15.587646216842638,0.9183592113060811,0.3120719727810733,0.2305359130369259,0.39098302445392313,493788.4484050641,0.9383170924863741,0.3136698153341734,0.23153362473809785,0.6131781706795449
"redistricting",8,50000,0.27018364231313247,0.2401077479350065,0.2992953865728797,0.19911437244582453,0.14616002620782384,0.7110243226575401,0.23807435562701507,0.28643456143296364,0.1943742102324063,0.1400455538375198
"ftrain redistricting",8,50000,16.91942630182773,0.8875428000000016,0.3109231559095633,0.23050050483692974,0.39441098048778406,551289.2494470617,0.9075006811802949,0.3123885136472544,0.2315892119049064,0.6306229216380638
"uniform",9,100,0.8880894942891989,0.5928165457215803,0.8193367329715655,0.38882305225726543,0.44215417650771527,0.9150763294134335,0.5926265362091898,0.8206229477331318,0.3885559912507672,0.44409575521037403
"ftrain uniform",9,100,89.86220291246053,1.691580000000001,1.0124415177026875,0.41015248034769697,1.1330975078908336,37.06973128388229,1.7050431705791622,1.0019836210987685,0.40604532718937963,1.0563719623989232
"redistricting",9,100,0.8880894942891989,0.5928165457215803,0.8193367329715655,0.38882305225726543,0.44215417650771527,0.9150763294134335,0.5926265362091898,0.8206229477331318,0.3885559912507672,0.44409575521037403
"ftrain redistricting",9,100,89.86220291246053,1.691580000000001,1.0124415177026875,0.41015248034769697,1.1330975078908336,37.06973128388229,1.7050431705791622,1.0019836210987685,0.40604532718937963,1.0563719623989232
"uniform",9,199,0.48869877904429987,0.41533030089203815,0.5321620025800973,0.2805255173467839,0.26761780370795274,0.488319901886767,0.4175361435175729,0.53676025777683,0.2815826547911849,0.2691827425795664
"ftrain uniform",9,199,66.04630260255752,1.8395182060301811,1.058730744132604,0.42350348264432264,1.2422212211679036,29.314831065182148,1.812008806566364,1.0520819806162942,0.4189489903667448,1.139957671710793
"redistricting",9,199,0.48869877904429987,0.41533030089203815,0.5321620025800973,0.2805255173467839,0.26761780370795274,0.488319901886767,0.4175361435175729,0.53676025777683,0.2815826547911849,0.2691827425795664
